,channel,watch_time,stream_time,peak_viewers,average_viewers,followers,followers_gained,views_gained,partnered,mature,language
66,sneakylol,1251994476.0,195833.0,21837.0,5771.0,1733581.0,168371.0,18788811.0,True,False,English
67,NickEh30,1301660279.0,123234.0,91389.0,11178.0,1973587.0,1281092.0,47104990.0,True,False,English
68,fps_shaka,1309118827.0,227136.0,24232.0,6867.0,341464.0,113912.0,25809550.0,True,False,Japanese
69,LVPes,1283258149.0,92563.0,252212.0,13571.0,392318.0,166724.0,53800647.0,True,False,Spanish
70,Vader,1161138079.0,200196.0,14987.0,5343.0,351978.0,49973.0,12191537.0,True,True,English
71,forsen,1162673653.0,149647.0,27724.0,11739.0,1203297.0,151548.0,20630464.0,True,True,English
72,Papaplatte,,,,,,,,True,False,German
73,StarLadder_cs_en,,,,,,,,True,False,English
74,Symfuhny,1187719029.0,137561.0,46490.0,6052.0,1762488.0,830773.0,19360711.0,True,True,English
75,DreamHackCS,1070866729.0,385983.0,202059.0,5269.0,1764730.0,345976.0,37894428.0,True,False,English
76,Mizkif,,,,,,,,True,False,English
77,Rainbow6,1244373710.0,87318.0,148626.0,8923.0,1167583.0,461649.0,19635582.0,True,True,English
78,stylishnoob4,1065548953.0,129303.0,24155.0,8176.0,326924.0,133356.0,25219463.0,True,False,Japanese
79,Maximilian_DOOD,1133406114.0,120561.0,49197.0,10442.0,866506.0,129443.0,16447484.0,True,False,English
80,Trainwreckstv,1179064899.0,161246.0,37841.0,7656.0,748215.0,355403.0,14360813.0,True,True,English
81,dota2ti,1123274364.0,6836.0,560778.0,174207.0,543049.0,138139.0,17162919.0,True,False,English
82,GRONKH,,,,,,,,True,False,German
83,SypherPK,1144241083.0,157980.0,159074.0,6906.0,4260874.0,1194409.0,34673692.0,True,False,English
84,ZeratoR,,,,,,,,True,True,French
85,SilverName,1054528296.0,117467.0,28500.0,10682.0,653144.0,69590.0,34766542.0,True,False,Russian
86,Sacriel,1015311234.0,173437.0,45443.0,5638.0,574070.0,132820.0,66096291.0,True,False,English
87,dakotaz,1055210360.0,133981.0,48137.0,8594.0,5227031.0,629607.0,20456426.0,True,False,English
88,Stray228,1129274955.0,101457.0,32739.0,9391.0,489546.0,254977.0,27075708.0,True,False,Russian
89,AdmiralBulldog,1050034406.0,184922.0,15498.0,8248.0,815936.0,81083.0,17634799.0,True,True,English
90,pokimane,1113299952.0,59039.0,96642.0,12850.0,5121954.0,2311130.0,57256753.0,True,False,English
91,lestream,1016329021.0,262357.0,52450.0,3817.0,760223.0,132813.0,30545514.0,True,False,French
92,ybicanoooobov,,,,,,,,True,False,Russian
93,Method,,,,,,,,True,False,English
94,Nightblue3,1161393894.0,123871.0,18432.0,5978.0,2400134.0,202324.0,19747965.0,True,False,English
95,EsfandTV,901462769.0,229287.0,23661.0,5705.0,425977.0,264602.0,29278877.0,True,False,English
96,shroud,946155271.0,30245.0,528871.0,36227.0,9445877.0,778407.0,32997319.0,True,False,English
97,NOBRU,1040768159.0,42193.0,162663.0,21581.0,1295268.0,1405808.0,6874643.0,True,False,Portuguese
98,buster,1052630033.0,69264.0,83857.0,15246.0,1123583.0,1244251.0,38665061.0,True,False,Russian
99,Scarra,1098927974.0,153775.0,28887.0,4304.0,1484108.0,298076.0,17051036.0,True,False,English
100,Baiano,1089381679.0,108655.0,101838.0,8694.0,399096.0,316950.0,22590005.0,True,False,Portuguese
101,괴물쥐123 (tmxk319),868169839.0,132962.0,82371.0,8122.0,257953.0,369922.0,19034788.0,True,False,Korean
102,WePlayEsport_RU,890191313.0,111426.0,113844.0,9552.0,374659.0,276063.0,36104435.0,True,False,Russian
103,elded,1012886478.0,129394.0,43505.0,7453.0,3124905.0,1156703.0,15526085.0,True,False,Spanish
104,LPL,866056250.0,52294.0,196270.0,15485.0,579671.0,365957.0,31624396.0,True,False,English
105,juansguarnizo,973601504.0,124291.0,40832.0,5272.0,1676071.0,917661.0,14424990.0,True,False,Spanish
106,Rakin,1007538518.0,171294.0,34097.0,6230.0,1445955.0,591214.0,26423811.0,True,False,Portuguese
107,SolaryHS,1053542824.0,511945.0,21720.0,2099.0,183037.0,30067.0,13254332.0,True,False,French
108,Cellbit,,,,,,,,True,False,Portuguese
109,dota2ti_ru,843652656.0,6953.0,491780.0,142629.0,510699.0,103157.0,13720641.0,True,False,Russian
110,uzra,956363167.0,246118.0,14343.0,3010.0,205652.0,22947.0,22101964.0,True,False,Chinese
111,OverwatchLeague,869927256.0,27139.0,261293.0,34344.0,1606080.0,74353.0,30033017.0,True,False,English
112,Thijs,843192394.0,137170.0,20698.0,6546.0,964743.0,54614.0,15925812.0,True,False,English
113,Swagg,805057998.0,124928.0,70021.0,7552.0,796789.0,717455.0,9351477.0,True,False,English
114,TeePee,,,,,,,,True,True,English
115,LVNDMARK,1008014111.0,223216.0,77671.0,3738.0,221047.0,256790.0,9600033.0,True,False,English
116,Agraelus,833706460.0,187423.0,15154.0,4704.0,401316.0,140595.0,22280879.0,True,True,Czech
117,BLASTPremier,755053885.0,27761.0,120357.0,17122.0,512075.0,297401.0,23360315.0,True,False,English
118,cloakzy,750736541.0,116554.0,37709.0,6950.0,2667552.0,506008.0,16928141.0,True,False,English
119,aceu,776194241.0,129607.0,29993.0,6665.0,811904.0,736012.0,18261819.0,True,True,English
120,蝦愛橘子 (shuteye_orange),767857315.0,407231.0,7207.0,1794.0,80506.0,18524.0,20204582.0,True,True,Chinese
121,Elraenn,828171765.0,56336.0,81625.0,11313.0,1128450.0,671304.0,22684384.0,True,False,Turkish
122,Elajjaz,892639277.0,158098.0,13805.0,3968.0,264526.0,34634.0,14660549.0,True,False,English
123,CDNThe3rd,796365947.0,174695.0,62768.0,4623.0,1709033.0,132289.0,15905422.0,True,False,English
124,POW3Rtv,738651482.0,180236.0,93193.0,4361.0,1215106.0,605287.0,25088680.0,True,False,Italian
125,IzakOOO,762929179.0,143922.0,37171.0,2998.0,1701473.0,280982.0,23829502.0,True,False,Polish
126,DreadzTV,721438390.0,130591.0,45768.0,4155.0,650074.0,63064.0,35794490.0,True,True,Russian
127,따효니 (ddahyoni),861626670.0,192210.0,19474.0,3416.0,320664.0,55696.0,16236385.0,True,False,Korean
128,WePlayEsport_EN,747447585.0,116386.0,83223.0,6805.0,189364.0,144213.0,18361104.0,True,False,English
129,ElmiilloR,,,,,,,,True,False,Spanish
130,Squeezie,726578121.0,30811.0,119486.0,15506.0,2453678.0,1072744.0,21900577.0,True,False,French
131,allkeyshop_tv,,,,,,,,True,False,English
132,Domingo,680441365.0,67118.0,103518.0,11349.0,886313.0,225571.0,26293289.0,True,False,French
133,PlayHearthstone,698004686.0,50878.0,50532.0,14071.0,693002.0,44295.0,33589435.0,True,False,English
134,ESL_DOTA2,679268117.0,216561.0,88585.0,5626.0,358690.0,102446.0,17989526.0,True,False,English
135,Kitboga,701895279.0,98963.0,19037.0,8202.0,676005.0,349010.0,8552317.0,True,False,English
136,DansGaming,733843205.0,214181.0,31820.0,3945.0,752681.0,31733.0,14689263.0,True,False,English
137,老皮 (mobilmobil),718445243.0,151076.0,18173.0,6432.0,495746.0,31200.0,25733704.0,True,True,Chinese
138,Destiny,681108432.0,165578.0,14971.0,2655.0,546083.0,125576.0,10342994.0,True,True,English
139,우왁굳 (woowakgood),650743503.0,191338.0,15183.0,4856.0,719162.0,242374.0,26265677.0,True,False,Korean
140,RATIRL,804329364.0,150884.0,11418.0,3946.0,402350.0,260101.0,15142868.0,True,True,English
141,bratishkinoff,734588378.0,62883.0,72244.0,9750.0,1118676.0,421935.0,25967673.0,True,False,Russian
142,Yogscast,762288189.0,493932.0,55161.0,1348.0,887047.0,91751.0,21042653.0,True,False,English
143,앰비션_ (lol_ambition),650562544.0,116247.0,35216.0,3997.0,428651.0,105530.0,19116253.0,True,False,Korean
144,jukes,709818023.0,100419.0,22377.0,9688.0,1178528.0,380703.0,20959366.0,True,False,Portuguese
145,木棉花官方頻道 (muse_tw),676251030.0,496265.0,19364.0,1466.0,121997.0,128539.0,15798517.0,True,True,Chinese
146,Shlorox,733538371.0,140258.0,14614.0,5056.0,210989.0,77134.0,15967563.0,True,False,German
147,coscu,637192940.0,92772.0,89156.0,9478.0,2008084.0,765512.0,20312124.0,True,False,Spanish
148,dogdog,640428361.0,115567.0,21157.0,5420.0,655463.0,46004.0,13513524.0,True,False,English
149,chocoTaco,667858118.0,204268.0,39224.0,2861.0,884956.0,305883.0,21252624.0,True,False,English
150,Locklear,629830295.0,117994.0,35589.0,5340.0,748576.0,429224.0,20702314.0,True,False,French
151,餐餐自由配 (blusewilly_retry),,,,,,,,True,False,Chinese
152,Amouranth,672513472.0,255484.0,16219.0,2313.0,1488735.0,591047.0,55731923.0,True,False,English
153,UberHaxorNova,670817894.0,206167.0,6553.0,2960.0,445961.0,51405.0,7911519.0,True,False,English
154,Sfory,759615066.0,81566.0,64647.0,2985.0,639237.0,448341.0,14021165.0,True,False,Russian
155,Giantwaffle,713710273.0,227512.0,39234.0,1868.0,829999.0,16884.0,11983788.0,True,False,English
156,ZanoXVII,687279392.0,99476.0,33799.0,5898.0,507494.0,366604.0,7170518.0,True,False,Italian
157,침착맨 (zilioner),623487514.0,119871.0,44536.0,5701.0,410836.0,96477.0,19016112.0,True,False,Korean
158,SkipNhOLIVE,621846665.0,574195.0,9155.0,1461.0,271380.0,344506.0,7396835.0,True,False,Portuguese
159,Kamet0,702072396.0,169585.0,82487.0,5081.0,576691.0,243683.0,14502065.0,True,False,French
160,MYM_ALKAPONE,773083948.0,125941.0,24394.0,5611.0,903771.0,141125.0,8042915.0,True,False,Spanish
161,김진우 (jinu6734),618922721.0,137702.0,12558.0,4637.0,281304.0,98647.0,10826472.0,True,False,Korean
162,imaqtpie,651233699.0,186360.0,22224.0,3406.0,2639940.0,42397.0,14183135.0,True,False,English
163,x2Twins,720218272.0,150084.0,29486.0,4223.0,1810952.0,1127065.0,17335568.0,True,False,English
164,C_a_k_e,667536959.0,133578.0,17818.0,4387.0,346281.0,47600.0,22683216.0,True,False,Russian
165,SmiteGame,697123786.0,363711.0,23370.0,1566.0,370811.0,96575.0,9332146.0,True,False,English
166,RatedEpicz,610864881.0,195085.0,13556.0,3047.0,147740.0,63422.0,9775003.0,True,True,English
167,wtcN,,,,,,,,True,True,Turkish
168,Anton,824299092.0,143875.0,178946.0,3452.0,153990.0,138707.0,6785343.0,True,True,English
169,benjyfishy,609436552.0,39311.0,91856.0,14524.0,1688949.0,1555349.0,25810290.0,True,False,English
170,StarLadder5,672512057.0,49406.0,191345.0,14060.0,805952.0,89686.0,21674130.0,True,False,Russian
171,Reborn_Live,578563786.0,39862.0,60384.0,17072.0,502654.0,487229.0,11532741.0,True,True,Spanish
172,CasinoDaddy,591023856.0,297559.0,6055.0,2246.0,164428.0,50609.0,7960608.0,False,True,English
173,H2P_Gucio,613864424.0,171090.0,9782.0,3677.0,247446.0,78909.0,16243203.0,True,False,Polish
174,Xayoo_,672928916.0,104198.0,24650.0,5530.0,527247.0,259329.0,15125101.0,True,False,Polish
175,Jinnytty,664494025.0,157894.0,11511.0,2838.0,399292.0,199148.0,15694538.0,True,False,English
176,KendineMuzisyen,584851819.0,74615.0,50573.0,10938.0,1438211.0,439424.0,18318371.0,True,True,Turkish
177,Jahrein,692148487.0,69158.0,45081.0,9111.0,1462269.0,239173.0,18834598.0,True,False,Turkish
178,Mathil1,646989623.0,169635.0,26040.0,3254.0,334251.0,74155.0,15896123.0,True,False,English
179,Greekgodx,576356828.0,116887.0,50324.0,7308.0,957974.0,416507.0,14000572.0,True,True,English
180,Brunenger,574335150.0,194375.0,75713.0,3131.0,670413.0,751268.0,14520119.0,True,False,Spanish
181,ClassyBeef,576473898.0,332754.0,36901.0,2422.0,117666.0,102653.0,7219601.0,False,True,English
182,Diegosaurs,657423977.0,141469.0,31871.0,5721.0,450132.0,337280.0,11417604.0,True,True,English
183,BobRoss,564231391.0,274946.0,12369.0,2058.0,1561097.0,239945.0,7811722.0,True,False,English
184,Nick28T,586524823.0,192178.0,19102.0,3296.0,770214.0,74620.0,7319977.0,True,True,English
185,녹두로 (nokduro),626876324.0,145865.0,15293.0,3827.0,214773.0,91965.0,10269533.0,True,False,Korean
186,GMHikaru,729457339.0,70669.0,30749.0,8435.0,424846.0,439362.0,21642426.0,True,False,English
187,SkipNhO,641142487.0,135588.0,21290.0,3962.0,757905.0,225833.0,15542419.0,True,False,Portuguese
188,jovirone,561367914.0,100264.0,30232.0,6070.0,985344.0,218986.0,20039914.0,True,False,Portuguese
189,Chap,,,,,,,,True,False,English
190,김도 (kimdoe),625419689.0,136803.0,14075.0,5288.0,252566.0,8987.0,14292529.0,True,True,Korean
191,RebirthzTV,554030538.0,135462.0,9879.0,4867.0,263739.0,69654.0,11206562.0,True,False,Thai
192,Klean,592251591.0,194866.0,98414.0,2990.0,324677.0,136369.0,8145332.0,True,False,English
193,接接 (godjj),622331488.0,140522.0,10403.0,4625.0,336748.0,20663.0,23118795.0,True,False,Chinese
194,Gladd,599144893.0,205481.0,59647.0,3361.0,354376.0,112392.0,9785610.0,True,False,English
195,CSRuHub,,,,,,,,True,False,Russian
196,CriticalRole,,,,,,,,True,False,English
197,Vinesauce,538977313.0,98375.0,19214.0,5379.0,393718.0,100631.0,7083389.0,True,True,English
198,울프 (lol_woolf),603934260.0,51881.0,82986.0,10461.0,328682.0,175591.0,10212375.0,True,False,Korean
199,Mithrain,,,,,,,,True,False,Turkish
200,EWROON,560374874.0,131644.0,21321.0,4522.0,457159.0,211257.0,13457953.0,True,False,Polish
201,ludwig,649282465.0,99246.0,63050.0,4976.0,479560.0,523574.0,8923740.0,True,False,English
202,RduLIVE,545131558.0,147413.0,10359.0,4250.0,238229.0,67515.0,7877151.0,True,False,English
203,Hiko,,,,,,,,True,False,English
204,FENGRUSH,525091197.0,106862.0,16590.0,5267.0,86788.0,19327.0,52627612.0,True,False,English
205,Chess,683183628.0,101047.0,86588.0,6075.0,392246.0,157652.0,92584402.0,True,False,English
206,72hrs,666538031.0,171521.0,35067.0,4121.0,983700.0,368565.0,12412753.0,True,False,English
207,TwitchRivals,585545820.0,41476.0,103372.0,18222.0,1011954.0,720464.0,78782475.0,True,False,English
208,狂暴小建 (a541021),613721491.0,168682.0,8448.0,2631.0,230423.0,20458.0,22471532.0,True,False,Chinese
209,hashinshin,557777212.0,237801.0,12808.0,2128.0,459067.0,203119.0,12494743.0,True,False,English
210,JoshOG,,,,,,,,True,False,English
211,B0aty,551035108.0,166353.0,21160.0,3930.0,498083.0,59083.0,9917889.0,True,True,English
212,AustinShow,606453138.0,21768.0,57847.0,19089.0,809293.0,277929.0,12648902.0,True,True,English
213,39daph,602647416.0,179344.0,13255.0,4222.0,465756.0,421717.0,12369289.0,True,False,English
214,scump,527905217.0,71627.0,71919.0,8405.0,866004.0,330696.0,9540498.0,True,False,English
215,플러리 (flurry1989),574152540.0,140131.0,11106.0,4534.0,208958.0,45777.0,11817777.0,True,False,Korean
216,Kyle,563236032.0,189518.0,8068.0,2870.0,164571.0,64186.0,6081709.0,True,True,English
217,SummonersInnLive,550145979.0,79326.0,110155.0,5428.0,494154.0,47954.0,15368748.0,True,False,German
218,Aydan,510818324.0,152175.0,53353.0,3498.0,1751451.0,326055.0,11313376.0,True,True,English
219,Faker,567344388.0,17945.0,61400.0,26331.0,2088880.0,796474.0,31974204.0,True,False,Korean
220,Mongraal,498184755.0,29135.0,62626.0,23735.0,2468904.0,1211623.0,20188986.0,True,False,English
221,탬탬버린 (2chamcham2),619163684.0,95489.0,14870.0,7195.0,438784.0,136825.0,14023253.0,True,False,Korean
222,EmadGG,571010931.0,158357.0,61668.0,2628.0,825092.0,813574.0,10602250.0,True,False,English
223,쌍베 (pacific8815),512762349.0,121405.0,16833.0,4018.0,151514.0,50453.0,15291846.0,True,False,Korean
224,FolagorLives,521636809.0,80300.0,60970.0,3619.0,889286.0,410407.0,10705148.0,True,False,Spanish
225,lilypichu,609458560.0,61219.0,29562.0,7965.0,1259642.0,757743.0,16190759.0,True,False,English
226,mistermv,566368521.0,95549.0,46402.0,4270.0,565855.0,145714.0,14472303.0,True,True,French
227,Bonjwa,560796580.0,256471.0,11108.0,1953.0,136326.0,22072.0,17841475.0,True,False,German
228,KingGeorge,493303711.0,183460.0,14627.0,2503.0,835560.0,269821.0,7400148.0,True,False,English
229,KingRichard,508720195.0,143598.0,10655.0,3473.0,1405963.0,127346.0,11207273.0,True,False,English
230,melharucos,526268648.0,136784.0,14653.0,2738.0,322450.0,69170.0,20892401.0,True,True,Russian
231,INSCOPE21TV,485107966.0,73051.0,42432.0,8023.0,584477.0,529056.0,13206714.0,True,True,German
232,JohnPitterTV,,,,,,,,True,False,Portuguese
233,Zizaran,508410585.0,167700.0,15762.0,2702.0,254674.0,56275.0,17391995.0,True,False,English
234,imls,491855128.0,83592.0,31016.0,6052.0,430571.0,133992.0,9499305.0,True,False,English
235,TSM_ImperialHal,482137885.0,123001.0,23336.0,3911.0,281852.0,269223.0,8990206.0,True,False,English
236,악어 (jdm2088),583897763.0,40995.0,47056.0,18335.0,211350.0,116582.0,6482680.0,True,False,Korean
237,Ramee,,,,,,,,True,False,English
238,Towelliee,587002195.0,189573.0,13229.0,2503.0,653148.0,23303.0,19177930.0,True,False,English
239,SPYGEA,463726210.0,149112.0,20062.0,2688.0,165427.0,68559.0,11017559.0,True,False,Japanese
240,FollowGrubby,502625108.0,149287.0,13178.0,3516.0,466505.0,44150.0,14122069.0,True,False,English
241,Amar,481056286.0,116223.0,50458.0,3598.0,486876.0,334821.0,12703072.0,True,False,German
242,mch_AGG,486337961.0,508441.0,9978.0,679.0,233856.0,134739.0,12144385.0,True,True,Portuguese
243,IWillDominate,,,,,,,,True,False,English
244,Nadeshot,500523695.0,57946.0,52440.0,7633.0,1090105.0,472844.0,8646114.0,True,True,English
245,buddha,465134266.0,140868.0,7718.0,3256.0,236097.0,21094.0,7675979.0,True,True,English
246,Deadlyslob,,,,,,,,True,False,English
247,懶貓 (failverde),439618708.0,217639.0,15143.0,2736.0,121870.0,24981.0,15574227.0,True,False,Chinese
248,嬌兔 (zrush),519017280.0,162742.0,8641.0,2801.0,172137.0,57501.0,13550183.0,True,True,Chinese
249,HoneyMad,513415968.0,79989.0,16628.0,8066.0,576250.0,89822.0,17814651.0,True,True,Russian
250,ESAMarathon,515177079.0,319178.0,24595.0,1459.0,173480.0,36801.0,36892922.0,True,False,English
251,Nmplol,653788177.0,65817.0,29280.0,6126.0,424630.0,82226.0,9419174.0,True,False,English
252,relaxing234,,,,,,,,True,False,Chinese
253,Doigby,501756417.0,61351.0,98352.0,4749.0,1058524.0,659967.0,12096110.0,True,False,French
254,Sequisha,455059967.0,186811.0,21408.0,2509.0,205828.0,101773.0,7767845.0,True,True,English
255,HusKerrs,484223663.0,136768.0,30073.0,4420.0,313165.0,270674.0,6737154.0,True,False,English
256,얍얍 (yapyap30),462851085.0,48304.0,42404.0,10218.0,364403.0,25821.0,10810138.0,True,False,Korean
257,Elwind,497291276.0,59679.0,21062.0,6628.0,762240.0,226209.0,16412041.0,True,False,Turkish
258,Shiphtur,449156391.0,139367.0,21051.0,3296.0,765162.0,63238.0,8492204.0,True,False,English
259,BarbarousKing,424602877.0,196326.0,9173.0,2104.0,142106.0,44375.0,6329234.0,True,True,English
260,alexelcapo,471237658.0,80438.0,74704.0,6060.0,448799.0,266024.0,17772258.0,True,False,Spanish
261,moistcr1tikal,449937286.0,105255.0,45722.0,2846.0,1328075.0,716821.0,8776131.0,True,False,English
262,Rush,431263537.0,96713.0,15963.0,5007.0,423915.0,130719.0,7992696.0,True,False,English
263,LosPollosTV,411906979.0,79555.0,67186.0,5126.0,573031.0,107500.0,7295150.0,True,False,English
264,DreamLeague,498826933.0,311305.0,96491.0,1971.0,289904.0,51536.0,7522990.0,True,False,English
265,Voyboy,,,,,,,,True,False,English
266,BastiGHG,470969110.0,157220.0,11346.0,1966.0,533750.0,261231.0,8432957.0,True,False,German
267,DatModz,432134881.0,253524.0,12210.0,2287.0,299398.0,29864.0,11507115.0,True,False,English
268,dafran,,,,,,,,True,False,English
269,yeTz,443486229.0,106412.0,21978.0,4799.0,831052.0,305632.0,11314678.0,True,False,Portuguese
270,Aurateur,557390268.0,196541.0,15672.0,2697.0,174018.0,29208.0,5175889.0,True,True,English
271,pokelawls,471202238.0,123161.0,20947.0,3431.0,755270.0,162224.0,6986759.0,True,False,English
272,ziGueira,524421866.0,144526.0,36246.0,3332.0,487374.0,254005.0,8591061.0,True,False,Portuguese
273,A_Seagull,407939853.0,112914.0,26485.0,4396.0,914019.0,50215.0,7734838.0,True,True,English
274,koil,428364514.0,156238.0,14969.0,3451.0,304916.0,45096.0,9935540.0,True,True,English
275,PAGO3,515840055.0,164299.0,20915.0,3218.0,435850.0,129182.0,14475155.0,True,False,Polish
276,Llobeti4,,,,,,,,True,False,Spanish
277,殺梗 (xargon0731),500816242.0,164102.0,8689.0,2362.0,284109.0,17121.0,21442642.0,True,False,Chinese
